Date,Open,High,Low,Price,Vol,Change,BBL_200_2,BBM_200_2,BBU_200_2,EMA_100,EMA_200,EMA_50,Price_EMA50_Ratio,RSI_14,Return_20,Return_60,V_Roll_MEAN_20,V_Roll_MEAN_60
2017-10-15,5824.70000,5862.70000,5448.20000,5688.10000,101640.00000,-0.02340,473.30492,2845.93950,5218.57408,3852.63359,3110.47986,4351.20267,1.30725,75.82981,0.44632,0.29646,89446.50000,110879.33333
2017-10-16,5677.40000,5795.30000,5576.10000,5759.30000,61360.00000,0.01250,475.48323,2869.54650,5263.60977,3890.38936,3136.83628,4406.42217,1.30702,76.65851,0.47951,0.34598,89352.00000,109777.33333
2017-10-17,5759.30000,5773.30000,5521.10000,5598.60000,65640.00000,-0.02790,480.85036,2892.14400,5303.43764,3924.21532,3161.33144,4453.17424,1.25722,70.76149,0.32914,0.36372,86754.00000,108464.66667
2017-10-18,5598.60000,5601.30000,5114.90000,5575.80000,122020.00000,-0.00410,487.42840,2914.59250,5341.75660,3956.91996,3185.35600,4497.19878,1.23984,69.93944,0.32896,0.34340,88243.50000,108603.00000
2017-10-19,5576.70000,5737.40000,5517.60000,5698.60000,83060.00000,0.02200,492.60797,2937.59850,5382.58903,3991.40868,3210.36341,4544.31256,1.25401,71.83713,0.36565,0.40132,87506.50000,108818.00000
2017-10-20,5698.60000,6075.30000,5611.40000,5993.10000,123860.00000,0.05170,492.35831,2961.82600,5431.29369,4031.04613,3238.05233,4601.12775,1.30253,75.78518,0.37438,0.49637,90325.00000,109371.50000
2017-10-21,5993.10000,6187.20000,5874.50000,6006.60000,112940.00000,0.00230,493.14636,2986.15000,5479.15364,4070.16601,3265.60006,4656.24431,1.29001,75.95160,0.36418,0.46871,92943.00000,108434.83333
2017-10-22,6006.60000,6070.60000,5723.00000,5982.90000,105030.00000,-0.00400,495.77608,3010.41500,5525.05392,4108.04193,3292.63787,4708.27002,1.27072,74.97735,0.35935,0.44476,94634.50000,108574.50000
2017-10-23,5982.90000,6049.00000,5644.20000,5903.60000,137140.00000,-0.01320,499.77890,3033.98950,5568.20010,4143.59753,3318.61760,4755.14571,1.24152,71.66488,0.36841,0.36708,97398.00000,109654.16667
2017-10-24,5903.60000,5904.60000,5463.40000,5513.10000,143740.00000,-0.06620,510.94033,3055.60250,5600.26467,4170.71639,3340.45324,4784.86941,1.15219,58.06163,0.30682,0.26320,101381.00000,110668.16667
2017-10-25,5513.10000,5748.00000,5375.60000,5734.00000,105840.00000,0.04010,519.77299,3078.36850,5636.96401,4201.67251,3364.26963,4822.09021,1.18911,62.40858,0.32688,0.31746,103492.50000,111662.83333
2017-10-26,5734.00000,5970.40000,5689.90000,5887.60000,93680.00000,0.02680,526.55479,3101.78500,5677.01521,4235.05721,3389.37739,4863.87491,1.21048,65.11613,0.34669,0.35478,105092.00000,112515.50000
2017-10-27,5887.60000,5997.80000,5692.30000,5764.60000,83930.00000,-0.02090,536.19317,3124.57450,5712.95583,4265.34518,3413.01145,4899.19746,1.17664,61.30806,0.29956,0.31303,107278.50000,112656.16667
2017-10-28,5764.60000,5871.00000,5654.80000,5726.60000,53230.00000,-0.00660,546.98793,3147.10400,5747.22007,4294.28092,3436.03223,4931.64462,1.16119,60.13795,0.24175,0.24564,106371.50000,111863.33333
2017-10-29,5726.60000,6295.40000,5679.40000,6147.50000,163060.00000,0.07350,551.97713,3171.77900,5791.58087,4330.97833,3463.01201,4979.32523,1.23461,67.53011,0.28676,0.34137,109015.00000,113439.83333
2017-10-30,6147.70000,6226.20000,6019.00000,6124.30000,78620.00000,-0.00380,559.16963,3196.51950,5833.86937,4366.48965,3489.49249,5024.22620,1.21895,66.79484,0.28570,0.29338,108021.50000,113545.33333
2017-10-31,6124.30000,6467.20000,6090.80000,6451.20000,101250.00000,0.05340,561.47079,3222.88900,5884.30721,4407.77104,3518.96221,5080.18595,1.26987,71.50310,0.33726,0.31071,109560.00000,113532.66667
2017-11-01,6449.10000,6738.70000,6355.00000,6737.80000,133190.00000,0.04440,559.33026,3250.69300,5942.05574,4453.91023,3550.99045,5145.19043,1.30953,74.86770,0.24025,0.47313,108023.50000,113073.00000
2017-11-02,6737.80000,7339.90000,6737.80000,7024.80000,238800.00000,0.04260,552.50371,3279.93300,6007.36229,4504.81894,3585.55572,5218.90061,1.34603,77.70632,0.24613,0.52286,109212.50000,115339.33333
2017-11-03,7024.80000,7445.60000,6938.90000,7152.10000,154890.00000,0.01810,544.19067,3309.72350,6075.25633,4557.24035,3621.04372,5294.71235,1.35080,78.84753,0.22789,0.67595,113146.00000,115080.83333
2017-11-04,7147.00000,7492.20000,6957.80000,7363.80000,106600.00000,0.02960,532.56147,3340.51200,6148.46253,4612.81579,3658.28508,5375.85304,1.36979,80.62389,0.29460,0.67014,113394.00000,114217.33333
2017-11-05,7363.80000,7599.40000,7284.30000,7389.50000,105730.00000,0.00350,522.11674,3371.38350,6220.65026,4667.79963,3695.41160,5454.81959,1.35467,80.83431,0.28306,0.59991,115612.50000,114130.66667
2017-11-06,7389.50000,7429.70000,6934.70000,6959.20000,159690.00000,-0.05820,522.23318,3399.98900,6277.74482,4713.17390,3727.88710,5513.81490,1.26214,67.59766,0.24303,0.50125,120315.00000,115616.66667
