Date,Open,High,Low,Price,Vol,Change,BBB_20_2,BBL_20_2,BBM_20_2,BBP_20_2,BBU_20_2,EMA_20,EMA_200,EMA_50,RSI_14,Return_1,Return_5,V_Roll_MEAN_20
2018-03-31,6856.50000,7221.50000,6804.90000,6938.20000,245300.00000,0.01230,32.13644,6926.58327,8252.63500,0.00438,9578.68673,8249.74626,8979.85101,9181.03964,31.47847,0.01233,-0.14801,255960.50000
2018-04-01,6939.10000,7047.70000,6460.10000,6825.20000,257530.00000,-0.01630,34.37463,6738.48905,8137.02500,0.03100,9535.56095,8114.07519,8958.41169,9088.65377,30.66544,-0.01629,-0.12517,255941.50000
2018-04-02,6825.40000,7121.30000,6787.60000,7068.40000,199310.00000,0.03560,34.62149,6642.17997,8032.70000,0.15326,9423.22003,8014.48707,8939.60561,9009.42813,34.58161,0.03563,-0.11144,253934.00000
2018-04-03,7067.20000,7519.30000,7032.90000,7424.20000,230800.00000,0.05030,35.34113,6580.90470,7993.38000,0.29852,9405.85530,7958.26926,8924.52694,8947.26232,39.92743,0.05034,0.04138,250201.50000
2018-04-04,7423.80000,7432.90000,6726.90000,6808.90000,239510.00000,-0.08290,37.79003,6424.00556,7920.60500,0.12859,9417.20444,7848.80552,8903.47593,8863.40498,34.65357,-0.08288,-0.00654,245850.50000
2018-04-05,6808.70000,6918.20000,6592.50000,6782.00000,221700.00000,-0.00400,39.89662,6280.25133,7845.24500,0.16030,9410.23867,7747.20499,8882.36671,8781.78125,34.43940,-0.00395,-0.02251,245129.00000
2018-04-06,6783.70000,6859.70000,6523.40000,6624.30000,174900.00000,-0.02330,42.47192,6129.98071,7782.71500,0.14955,9435.44929,7640.26166,8859.89839,8697.17414,33.14607,-0.02325,-0.02944,243471.50000
2018-04-07,6624.50000,7071.90000,6616.10000,6905.70000,177100.00000,0.04250,43.62086,6034.62406,7717.94000,0.25874,9401.25594,7570.30341,8840.45363,8626.92026,37.64591,0.04248,-0.02302,234925.50000
2018-04-08,6905.90000,7113.40000,6903.90000,7030.50000,132510.00000,0.01810,43.35051,5982.93361,7638.62500,0.31635,9294.31639,7518.89356,8822.44414,8564.31554,39.58800,0.01807,-0.05303,225703.00000
2018-04-09,7035.70000,7192.50000,6633.20000,6781.90000,241190.00000,-0.03540,42.13584,5945.23518,7532.09000,0.26362,9118.94482,7448.70370,8802.14022,8494.41689,37.10858,-0.03536,-0.00397,225090.50000
2018-04-10,6782.60000,6899.50000,6671.60000,6854.80000,134230.00000,0.01080,39.84018,5949.56484,7429.53500,0.30583,8909.50516,7392.14144,8782.76370,8430.11819,38.32836,0.01075,0.01073,220892.50000
2018-04-11,6855.60000,6988.60000,6818.40000,6962.10000,142070.00000,0.01560,37.22061,5975.08615,7341.33000,0.36121,8707.57385,7351.18511,8764.64764,8372.54885,40.16779,0.01565,0.05099,216845.50000
2018-04-12,6963.30000,8009.60000,6779.30000,7926.60000,398300.00000,0.13850,32.78654,6096.45213,7291.82000,0.76552,8487.18787,7405.98653,8756.30886,8355.06066,53.57257,0.13854,0.14783,226255.00000
2018-04-13,7926.90000,8228.00000,7756.60000,7887.40000,296950.00000,-0.00490,29.93236,6172.45209,7258.82000,0.78930,8345.18791,7451.83543,8747.66300,8336.72102,53.05233,-0.00495,0.12188,232231.00000
2018-04-14,7891.10000,8180.20000,7839.30000,8004.40000,164710.00000,0.01480,27.56211,6238.26835,7235.38000,0.88562,8232.49165,7504.46063,8740.26735,8323.68883,54.47337,0.01483,0.18026,232990.50000
2018-04-15,8004.60000,8411.50000,8004.60000,8363.60000,160260.00000,0.04490,28.72767,6205.52627,7246.38500,1.03668,8287.24373,7586.28343,8736.51942,8325.25397,58.61498,0.04488,0.22011,228644.50000
2018-04-16,8362.20000,8412.90000,7908.50000,8070.00000,197700.00000,-0.03510,29.62841,6184.31851,7259.80000,0.87667,8335.28149,7632.35167,8729.88738,8315.24401,54.26926,-0.03510,0.15913,227374.50000
2018-04-17,8070.00000,8171.70000,7852.80000,7908.60000,162590.00000,-0.02000,29.47771,6187.81473,7257.48500,0.80435,8327.15527,7658.66104,8721.71537,8299.29719,51.98742,-0.02000,-0.00227,227136.00000
2018-04-18,7908.50000,8227.60000,7895.30000,8178.40000,163260.00000,0.03410,31.18933,6169.98371,7309.94500,0.88091,8449.90629,7708.15998,8716.30924,8294.55612,55.36589,0.03411,0.03689,217861.50000
2018-04-19,8179.00000,8303.70000,8126.70000,8290.80000,155080.00000,0.01370,32.39526,6186.12337,7381.80000,0.88012,8577.47663,7763.64951,8712.07532,8294.40882,56.73187,0.01374,0.03578,204750.00000
2018-04-20,8292.30000,8926.20000,8224.50000,8867.00000,225960.00000,0.06950,35.82381,6138.74475,7478.24000,1.01839,8817.73525,7868.73051,8713.61686,8316.86338,62.98558,0.06950,0.06019,203783.00000
2018-04-21,8867.00000,9027.70000,8614.50000,8923.10000,206010.00000,0.00630,38.06014,6140.05929,7583.13500,0.96427,9026.21071,7969.14665,8715.70127,8340.63736,63.53814,0.00633,0.10571,201207.00000
2018-04-22,8923.60000,9022.30000,8766.50000,8806.70000,161890.00000,-0.01300,39.53405,6153.90935,7670.05000,0.87485,9186.19065,8048.91364,8716.60673,8358.91433,61.48712,-0.01304,0.11356,199336.00000
2018-04-23,8809.30000,9001.00000,8785.30000,8952.80000,147540.00000,0.01660,41.56901,6136.41250,7746.48000,0.87462,9356.54750,8134.99805,8718.95691,8382.20396,63.09730,0.01659,0.09469,195173.00000
2018-04-24,8952.70000,9734.80000,8937.00000,9645.30000,260790.00000,0.07730,44.33079,6139.82697,7888.30000,1.00244,9636.77303,8278.83633,8728.17426,8431.73714,69.58773,0.07735,0.16337,196237.00000
2018-04-25,9645.00000,9753.10000,8768.10000,8873.10000,395670.00000,-0.08010,43.06910,6271.62950,7992.85500,0.75570,9714.08050,8335.43287,8729.61630,8449.04549,57.45317,-0.08006,0.00069,204935.50000
2018-04-26,8874.50000,9303.60000,8669.80000,9287.00000,248390.00000,0.04670,41.56573,6437.17645,8125.99000,0.84374,9814.80355,8426.05831,8735.16241,8481.90645,61.34414,0.04665,0.04078,208610.00000
2018-04-27,9282.80000,9386.30000,8920.20000,8940.90000,184910.00000,-0.03730,39.53815,6601.19999,8227.75000,0.71922,9854.30001,8475.09085,8737.20955,8499.90620,56.67663,-0.03727,0.01524,209000.50000
2018-04-28,8940.80000,9428.90000,8895.50000,9352.40000,199780.00000,0.04600,38.33693,6744.45801,8343.84500,0.81529,9943.23199,8558.64411,8743.33085,8533.33733,60.52266,0.04602,0.04463,212364.00000
2018-04-29,9352.20000,9565.10000,9182.80000,9415.10000,184720.00000,0.00670,35.24070,6982.09134,8475.50500,0.81458,9968.91866,8640.21133,8750.01512,8567.91626,61.08947,0.00670,-0.02387,209540.50000
2018-04-30,9415.80000,9456.70000,9135.40000,9245.10000,156830.00000,-0.01800,30.92512,7266.01008,8595.02000,0.74457,9924.02992,8697.81978,8754.94134,8594.47248,58.63144,-0.01806,0.04192,210670.50000
2018-05-01,9245.10000,9245.10000,8851.00000,9074.90000,173350.00000,-0.01840,25.53911,7589.62465,8700.66000,0.66842,9811.69535,8733.73218,8758.12500,8613.31278,56.19360,-0.01841,-0.02284,212234.50000
2018-05-02,9076.80000,9265.70000,8991.90000,9243.20000,137480.00000,0.01850,24.53026,7691.26847,8766.49000,0.72168,9841.71153,8782.25293,8762.95162,8638.01424,58.05100,0.01855,0.03381,199193.50000
2018-05-03,9244.20000,9809.40000,9171.40000,9749.70000,201180.00000,0.05480,24.31544,7782.47907,8859.60500,0.91318,9936.73093,8874.39074,8772.77001,8681.60976,63.11913,0.05480,0.04248,194405.00000
2018-05-04,9747.60000,9800.90000,9549.00000,9708.60000,161550.00000,-0.00420,23.75819,7882.25174,8944.81500,0.85941,10007.37826,8953.83924,8782.08175,8721.88388,62.45970,-0.00422,0.03117,194247.00000
2018-05-05,9709.50000,9992.80000,9691.30000,9853.50000,158450.00000,0.01490,24.33582,7921.84831,9019.31000,0.88005,10116.77169,9039.52122,8792.74263,8766.26099,63.89197,0.01492,0.06581,194156.50000
2018-05-06,9859.60000,9957.70000,9446.70000,9656.40000,150950.00000,-0.02000,22.84572,8059.30601,9098.63000,0.76833,10137.95399,9098.27158,8801.33624,8801.16840,60.51008,-0.02000,0.06408,191819.00000
2018-05-07,9651.10000,9675.60000,9204.20000,9431.60000,165080.00000,-0.02330,19.44796,8282.62610,9174.78000,0.64393,10066.93390,9130.01714,8807.60752,8825.89121,56.81622,-0.02328,0.02038,191943.50000
2018-05-08,9373.90000,9404.40000,9079.80000,9196.40000,157450.00000,-0.02490,16.61089,8459.44622,9225.68000,0.48089,9991.91378,9136.33932,8811.47610,8840.42096,53.15975,-0.02494,-0.05675,191653.00000
